,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt,target
26,300,1,1,2,7,2,10,0,0,100,5,5,2,1,1,0,0,0,0,1,0,GN
27,4500,1,1,1,2,2,9,3,2,100,9,9,0,1,1,1,1,0,1,0,0,GBCT
28,1000,1,12,4,2,2,1,0,0,100,5,9,0,1,0,1,0,0,0,0,0,B
29,7000,1,1,4,2,2,1,0,0,100,5,5,0,1,0,0,0,1,1,0,1,FTA
30,30000,1,1,3,2,2,1,1,0,100,5,5,0,1,1,1,1,0,0,1,1,GBCNA
31,7000,1,1,3,2,2,7,0,0,100,0,1,0,1,0,1,1,0,1,0,0,BCT
32,3300,1,1,3,2,1,7,0,0,100,5,5,0,1,0,1,0,0,1,0,0,BT
33,2100,1,1,3,2,9,2,0,0,50,0,1,0,1,0,0,0,0,1,0,0,T
34,500,1,1,0,2,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0,GB
35,400,2,1,2,2,10,10,0,0,100,1,5,0,1,0,1,0,0,0,0,0,B
36,300,1,1,1,2,10,10,0,0,100,2,2,0,1,0,1,1,0,0,0,0,BC
37,1100,1,1,0,2,6,10,3,4,100,2,2,0,1,0,1,1,0,0,0,0,BC
38,1000,1,1,2,2,10,6,0,0,100,1,1,0,1,0,0,0,1,0,0,0,F
39,400,1,5,1,6,2,10,1,0,75,2,0,0,1,0,0,1,0,1,0,1,CTA
40,100,1,1,2,2,6,10,0,0,100,1,1,0,1,0,1,0,0,0,0,0,B
41,100,1,5,1,7,2,6,3,0,100,2,1,0,1,1,0,0,0,0,0,0,G
42,80000,1,12,4,2,2,7,0,0,100,5,5,0,1,1,0,0,1,1,0,0,GFT
43,200,1,12,4,2,2,7,0,0,100,5,5,0,1,0,0,1,1,1,0,0,CFT
44,100,1,11,4,2,6,7,0,0,100,5,5,0,1,0,0,1,0,1,0,0,CT
45,2500,1,1,3,7,2,9,0,0,75,0,2,0,1,0,1,0,0,0,0,0,B
46,31000,6,1,0,2,7,6,3,4,100,5,5,0,1,1,1,1,0,0,0,0,GBC
47,500,1,12,4,2,7,2,0,0,100,5,5,0,1,1,1,1,1,1,0,0,GBCFT
48,25000,5,1,0,2,9,7,3,4,75,0,0,0,1,1,0,0,1,0,0,0,GF
49,40000,1,1,1,2,2,6,3,2,100,5,0,0,1,1,1,0,1,0,1,0,GBFN
50,1900,7,12,4,2,6,7,0,0,100,5,5,0,1,1,1,0,0,1,1,0,GBTN
51,30,1,1,2,2,7,6,0,0,75,0,1,0,1,0,1,1,0,0,1,0,BCN
52,4300,1,1,3,1,2,2,0,0,100,5,5,0,1,1,1,1,0,1,0,1,GBCTA
53,4000,1,1,3,1,1,2,0,0,100,5,5,0,1,1,1,1,0,0,0,0,GBC
54,300,1,1,4,1,2,6,0,0,99,2,2,0,1,0,1,0,0,0,0,0,B
55,400,1,1,2,1,7,6,0,0,100,0,1,0,1,0,1,0,0,0,1,0,BN
56,1000,1,1,1,2,2,1,0,0,100,5,5,0,1,1,1,1,1,1,1,0,GBCFTN
57,1500,2,2,2,7,2,6,1,2,100,5,0,0,1,0,1,1,0,0,0,0,BC
58,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,1,1,0,GBCTN
59,600,1,1,2,7,1,10,0,0,100,2,2,0,1,0,0,0,0,1,0,0,T
60,28300,4,1,1,2,7,6,3,2,100,0,0,0,1,1,1,1,1,0,0,0,GBCF
61,1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1,0,1,0,0,0,0,GC
62,50,1,1,2,2,7,10,0,0,100,5,5,0,1,1,1,1,1,0,0,0,GBCF
63,9000,2,2,0,10,1,7,1,2,100,1,1,0,1,1,0,1,0,0,0,0,GC
64,19300,2,1,1,2,6,1,3,3,75,2,0,0,1,1,1,1,1,1,0,0,GBCFT
65,100,1,1,4,2,9,1,0,0,100,1,2,0,1,1,0,1,0,0,0,0,GC
66,3500,1,2,0,6,9,2,0,0,50,0,0,0,1,1,1,1,0,0,0,0,GBC
67,300,1,12,3,7,2,1,0,0,100,5,5,0,1,1,1,0,0,0,0,0,GB
68,100,1,12,4,7,2,1,0,0,100,5,5,0,1,0,1,0,0,0,0,0,B
69,200,1,12,4,7,2,6,0,0,100,0,0,0,1,0,1,0,0,0,0,0,B
70,300,1,12,4,2,2,7,0,0,100,2,5,0,1,0,1,0,0,0,0,0,B
71,300,1,11,3,7,1,1,0,0,100,10,10,0,1,1,1,1,0,1,0,0,GBCT
72,300,1,11,3,1,2,10,0,0,100,10,10,0,1,1,1,0,1,0,0,0,GBF
73,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,0,0,0,GBC
74,1000,1,1,2,2,7,9,0,0,75,0,0,0,1,0,0,1,0,0,0,0,C
75,9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1,0,0,0,0,0,0,G
76,100,1,11,4,1,10,2,0,0,100,10,10,0,1,1,1,1,0,1,0,0,GBCT
77,100,1,1,2,2,7,6,0,0,100,2,2,2,1,1,0,0,0,0,0,0,G
78,300,1,1,3,2,2,1,0,0,100,5,1,0,1,0,0,0,1,1,0,0,FT
79,500,2,1,0,2,9,1,3,3,100,1,2,0,1,0,0,1,0,0,0,0,C
80,1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0,0,0,0,1,0,0,T
81,500,1,12,4,7,1,1,0,0,100,10,10,0,1,1,0,1,0,0,1,0,GCN
82,600,2,1,1,1,10,6,3,1,100,1,0,0,1,1,1,1,0,1,1,1,GBCTNA
83,1300,1,1,0,1,10,6,3,1,100,1,1,0,1,0,1,1,0,0,0,0,BC
84,2000,3,1,4,10,10,11,0,0,100,5,5,0,1,0,1,1,0,0,0,0,BC
85,300,1,15,2,2,11,6,0,0,100,2,5,0,1,0,1,1,0,1,0,0,BCT
86,10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0,1,1,1,0,1,1,BCFNA
87,9000,3,1,2,10,10,10,0,1,100,9,9,0,1,1,1,1,0,1,0,0,GBCT
88,300,1,15,3,10,10,10,0,0,100,9,9,0,1,0,1,1,0,1,0,0,BCT
89,300,1,14,1,2,10,10,0,0,100,5,5,0,1,0,1,1,0,1,0,0,BCT
90,3500,1,1,2,7,6,1,0,0,100,2,2,0,1,1,1,1,1,0,1,0,GBCFN
91,300,1,15,0,2,9,7,0,0,100,1,1,0,1,1,0,0,0,0,0,0,G
92,16000,4,1,2,7,9,2,0,2,100,1,5,0,1,1,1,1,1,0,1,0,GBCFN
93,500,1,14,1,14,1,6,0,0,100,2,2,0,1,1,1,1,1,0,1,0,GBCFN
94,3500,1,1,3,7,1,2,0,0,100,2,2,0,1,1,1,1,0,0,1,0,GBCN
95,300,1,15,1,1,7,2,0,0,100,5,5,0,1,1,1,0,1,0,1,0,GBFN
96,5000,1,1,0,1,10,2,3,2,100,5,5,0,1,1,1,1,1,0,1,0,GBCFN
97,10000,1,1,3,1,10,6,0,1,100,5,5,0,1,1,1,1,1,1,1,1,GBCFTNA
98,10000,4,1,0,10,2,6,0,1,75,0,0,0,1,0,1,1,0,1,0,0,BCT
99,29000,3,1,2,10,6,1,3,3,100,2,0,0,1,1,1,1,1,1,1,1,GBCFTNA
100,8250,1,1,3,6,2,10,0,0,100,1,2,0,1,1,1,1,1,1,1,1,GBCFTNA
101,250,1,7,1,1,10,6,0,0,100,2,5,0,1,1,1,1,1,1,1,1,GBCFTNA
102,80000,2,1,1,7,6,2,3,4,100,2,2,0,1,1,1,1,0,0,0,0,GBC
103,300,1,15,1,2,7,2,0,0,100,1,1,0,1,0,1,1,0,0,0,0,BC
104,500000,9,1,3,10,6,2,3,3,75,1,1,0,1,1,1,1,1,1,1,1,GBCFTNA
105,50000,10,1,4,2,10,6,0,0,100,2,2,0,1,1,1,1,1,1,1,1,GBCFTNA
106,8000,1,1,2,1,10,6,3,2,100,0,2,0,1,1,1,0,0,0,0,0,GB
107,450,1,1,1,6,10,10,0,1,25,1,1,0,1,1,1,1,0,1,1,0,GBCTN
108,300,1,15,0,1,10,6,0,0,100,0,1,0,1,0,1,0,0,0,0,0,B
109,50,1,1,1,6,10,10,0,0,50,0,0,0,1,0,1,1,0,1,0,0,BCT
110,50,1,1,2,10,10,6,0,0,100,9,5,0,1,1,1,0,0,0,0,0,GB
111,8300,2,1,2,1,10,6,3,3,100,2,2,0,1,1,1,1,0,1,0,0,GBCT
112,1800,1,1,0,10,1,6,3,2,100,1,2,0,1,1,1,1,1,1,1,1,GBCFTNA
113,150,2,1,1,1,10,6,0,1,100,0,1,0,1,1,1,1,1,1,1,1,GBCFTNA
114,500,1,1,3,10,1,6,0,0,75,0,1,0,1,1,1,1,1,1,1,0,GBCFTN
115,900,1,1,1,1,10,6,3,2,100,2,2,0,1,1,1,1,1,1,1,0,GBCFTN
116,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0,BC
117,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0,BC
118,300,1,15,1,1,10,6,1,0,100,1,1,0,1,0,1,0,0,0,0,0,B
119,3000,1,1,3,2,10,6,0,1,100,5,5,0,1,1,1,1,0,0,1,0,GBCN
120,450,1,1,1,10,10,10,3,3,100,5,2,0,1,1,1,0,1,0,1,0,GBFN
121,300,1,15,1,1,10,6,0,0,100,5,5,0,1,1,0,0,1,0,0,0,GF
122,200,1,5,2,10,6,1,3,0,100,1,1,0,1,1,1,1,0,0,0,0,GBC
123,700,1,1,0,10,6,7,3,2,100,1,1,0,1,1,1,1,0,1,1,1,GBCTNA
124,300,1,14,1,10,6,2,0,0,100,1,1,0,1,0,1,0,0,0,0,0,B
125,300,1,12,2,10,10,2,0,0,50,2,5,0,1,0,1,0,0,0,0,0,B
126,300,1,15,1,10,10,6,0,0,100,0,2,0,1,0,0,0,0,0,0,0,X
127,300,1,15,1,1,7,6,0,0,100,1,1,0,1,0,0,0,0,1,0,0,T
128,200,1,1,1,6,10,1,0,0,100,1,1,0,1,1,1,1,1,1,1,1,GBCFTNA
129,350,1,1,2,10,1,6,0,0,100,1,1,0,1,1,1,1,1,1,1,0,GBCFTN
130,300,1,15,1,1,1,1,0,0,100,5,5,0,1,0,0,0,0,0,0,0,X
131,1000,1,12,1,1,1,10,0,0,100,2,9,0,1,0,1,0,0,0,0,0,B
132,100,1,1,1,1,7,10,0,0,100,9,9,0,1,0,1,1,1,0,0,0,BCF
133,300,1,15,1,1,7,1,0,0,100,2,5,0,1,0,0,0,0,0,0,0,X
134,6300,3,1,0,7,1,5,0,0,100,2,1,0,1,1,1,1,0,0,0,0,GBC
135,3400,2,2,0,6,7,10,0,0,75,1,1,0,1,1,0,0,0,0,1,0,GN
136,2400,2,1,0,2,6,10,3,4,75,1,1,0,1,1,0,0,0,0,0,0,G
137,115000,5,1,0,10,2,6,3,4,100,0,1,0,1,1,1,0,0,0,0,0,GB
138,40000,4,1,1,10,7,6,3,4,100,1,1,0,1,1,1,1,1,1,0,0,GBCFT
139,300,1,1,0,6,9,2,3,3,50,0,0,0,1,1,1,1,0,1,0,0,GBCT
140,1500,1,1,0,9,6,6,3,0,25,0,0,0,1,1,0,0,0,0,0,0,G
141,4000,2,1,0,1,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0,GB
142,360000,12,1,1,10,1,7,3,4,100,1,1,0,1,1,1,1,1,1,1,0,GBCFTN
143,4100,5,1,1,1,10,2,3,3,100,0,1,0,1,1,1,1,0,1,0,0,GBCT
144,2300,1,1,1,2,6,10,1,3,100,0,0,0,1,1,1,1,1,1,1,0,GBCFTN
145,1500,3,1,1,2,1,10,3,3,100,2,2,0,1,1,1,1,1,1,1,0,GBCFTN
146,300,1,1,3,2,1,6,0,0,100,2,1,0,1,1,1,0,0,0,0,0,GB
147,15000,2,1,2,2,1,10,3,3,100,0,1,0,1,1,1,1,0,0,1,0,GBCN
148,1700,1,1,3,9,6,2,0,0,25,0,0,0,1,1,1,1,0,1,1,0,GBCTN
149,2500,2,1,3,2,6,10,0,0,75,0,0,0,1,1,1,1,1,0,1,0,GBCFN
150,2400,1,1,2,2,10,1,0,1,100,1,1,0,1,1,1,1,0,1,1,0,GBCTN
151,300,1,12,3,2,10,1,0,0,100,1,1,0,1,1,1,1,1,1,0,0,GBCFT
152,2600,2,1,2,9,2,6,3,2,50,0,1,0,1,1,1,1,0,0,0,0,GBC
153,600,1,1,4,9,2,10,0,0,50,0,0,0,1,0,1,0,1,0,0,0,BF
154,2000,1,1,3,9,2,6,0,0,50,0,0,0,1,1,1,1,0,0,0,0,GBC
155,26000,3,1,1,1,2,10,3,4,100,1,2,0,1,1,1,1,1,1,1,0,GBCFTN
156,350,1,1,0,2,1,10,3,3,100,1,1,0,1,1,1,1,1,1,1,0,GBCFTN
157,200,1,1,3,2,6,5,0,0,50,1,1,1,2,1,1,1,0,0,0,0,GBC
158,2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1,1,1,0,1,1,0,GBCTN
159,300,1,15,1,1,1,6,0,0,100,1,1,2,1,0,1,0,0,0,0,0,B
160,600,1,5,2,6,6,10,3,2,100,2,2,0,1,1,1,1,1,1,1,0,GBCFTN
161,300,1,12,3,1,2,10,0,0,100,1,2,0,1,0,1,0,0,0,0,0,B
162,1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1,1,1,1,1,1,0,GBCFTN
163,3000,1,1,3,2,10,1,0,0,100,5,2,0,1,1,1,1,1,1,1,0,GBCFTN
164,300,1,15,1,1,1,10,0,0,100,5,5,0,1,0,1,0,0,0,0,0,B
165,2300,1,1,1,2,6,10,3,3,50,1,0,0,1,1,1,1,0,1,0,0,GBCT
166,2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1,1,1,0,1,0,0,GBCT
167,300,1,14,1,2,7,10,0,0,100,2,0,0,1,0,1,1,1,0,0,0,BCF
168,300,1,1,3,6,2,9,0,0,25,0,0,0,1,1,1,1,1,1,0,0,GBCFT
169,22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1,1,1,1,1,0,0,GBCFT
170,300,1,12,3,10,2,1,0,0,100,2,0,0,1,0,1,0,0,0,0,0,B
171,300,1,12,4,1,10,2,0,0,100,5,5,0,1,0,1,0,0,0,0,0,B
172,1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1,1,1,1,1,1,1,GBCFTNA
173,300,1,15,1,1,1,9,0,0,100,0,1,0,1,0,1,0,0,0,0,0,B
174,300,1,15,1,1,1,10,0,0,100,9,5,0,1,0,1,0,0,0,0,0,B
175,1100,2,1,3,2,6,6,0,0,100,0,0,0,1,0,1,1,1,1,1,1,BCFTNA
176,200,1,1,1,6,6,2,0,0,75,0,0,0,1,0,1,1,1,1,1,1,BCFTNA
177,1000,1,1,4,2,1,6,0,0,100,1,1,0,1,1,0,0,0,1,0,0,GT
178,300,1,14,2,2,9,7,0,0,75,0,2,0,1,0,1,0,0,0,0,0,B
179,1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0,1,0,0,0,0,0,B
180,1100,1,5,0,2,1,10,3,3,100,5,1,0,2,0,0,0,0,0,0,0,X
181,2500,1,1,4,2,6,7,0,0,100,5,1,0,1,1,1,1,0,1,1,0,GBCTN
182,4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1,1,1,0,1,1,1,GBCTNA
183,200,1,12,3,10,1,6,0,0,100,1,2,0,1,0,1,1,0,0,0,0,BC
184,350,1,1,0,2,6,10,1,3,100,1,1,0,1,1,1,1,0,0,0,0,GBC
185,4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0,BC
186,2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0,1,0,0,0,0,0,B
187,300,1,14,2,7,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0,GBCFN
188,500,1,1,4,1,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0,GBCFN
189,300,1,12,3,2,1,6,0,0,100,1,0,0,1,0,1,1,0,0,0,0,BC
190,300,1,12,3,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0,BC
